23.01.2026                                                                                 Salida dinámica de lista                                                                                         1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Ce. |Alm.|CMv|Razión|Registrado|Hora    |Doc.mat.  |Usuario   |Fecha doc.|Material|Texto breve de material                 |Lote  |Cantidad|   Impte.ML|Txt.cab.doc.  |Pedido|Proveedor|Txt clase-mov.    |
| 4100|4164|YR1|  2521|02.02.2025|05:54:53|7810076175|UC4USER   |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z90014|      1-|       736-|4164 258861809|      |         |SM Ventas Retail  |
| 4100|4162|YR1|  2521|02.02.2025|05:54:53|7810074571|UC4USER   |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40001|      1-|     1.193-|4162 258875155|      |         |SM Ventas Retail  |
| 4100|4156|YR1|  2521|02.02.2025|05:54:53|7810074570|UC4USER   |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40003|      1-|     1.193-|4156 258799077|      |         |SM Ventas Retail  |
| 4100|4164|YR1|  2521|02.02.2025|05:54:53|7810076177|UC4USER   |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40001|      1-|     1.193-|4164 258861830|      |         |SM Ventas Retail  |
| 4100|4165|YR1|  2521|02.02.2025|05:54:53|7810076178|UC4USER   |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40003|      1-|     1.193-|4165 258836832|      |         |SM Ventas Retail  |
| 4100|4153|YR1|  2521|02.02.2025|05:54:52|7810074567|UC4USER   |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |ZA0015|      1-|       736-|4153 258854531|      |         |SM Ventas Retail  |
| 4100|4153|YR1|  2521|02.02.2025|05:54:52|7810074566|UC4USER   |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z90014|      1-|       736-|4153 258854529|      |         |SM Ventas Retail  |
| 4100|4175|YR1|  2521|02.02.2025|05:54:52|7810074561|UC4USER   |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z80012|      1-|       736-|4175 258762628|      |         |SM Ventas Retail  |
| 4100|4177|YR1|  2521|02.02.2025|05:54:52|7810074559|UC4USER   |01.02.2025|50374276|ESSENCIAL EXCLUSIVO FEM EDP 100ML LTM NV|Z40003|      1-|     4.660-|4177 258764789|      |         |SM Ventas Retail  |
| 4100|4176|YR1|  2521|02.02.2025|05:54:52|7810074560|UC4USER   |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40003|      1-|     1.193-|4176 258867851|      |         |SM Ventas Retail  |
| 4100|4173|YR1|  2521|02.02.2025|05:54:52|7810074562|UC4USER   |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40003|      1-|     1.193-|4173 258883181|      |         |SM Ventas Retail  |
| 4100|4170|YR1|  2521|02.02.2025|05:54:52|7810074563|UC4USER   |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40003|      1-|     1.193-|4170 258884590|      |         |SM Ventas Retail  |
| 4100|4170|YR1|  2521|02.02.2025|05:54:52|7810074564|UC4USER   |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40003|      1-|     1.193-|4170 258884588|      |         |SM Ventas Retail  |
| 4100|4147|YR1|  2521|02.02.2025|05:54:52|7810074565|UC4USER   |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40003|      1-|     1.193-|4147 258808176|      |         |SM Ventas Retail  |
| 4100|4154|YR1|  2521|02.02.2025|05:54:52|7810074568|UC4USER   |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z70012|      1-|     1.193-|4154 258847956|      |         |SM Ventas Retail  |
| 4100|4179|YR1|  2521|02.02.2025|05:54:51|7810074558|UC4USER   |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z20005|      1-|       736-|4179 258833002|      |         |SM Ventas Retail  |
