-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Material|Ce. |Alm.|Texto breve de material     |Lote      |UM| Libre utiliz.|     Bloqueado|En CtrlCal|TransyTras|    Devol.| Valor total| Valor total|Denom-almacén   |Alm|Mon. | Val.trans.c/cond.|Valor en insp.cal.|    Stock no libre|    Valor no libre| Val.stock bl.dev.|
| 50301037|4100|4161|EKOS FLUIDO MASSAGEM MARACU |A60002    |PC|            1 |            0 |        0 |        0 |        0 |        959 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50301037|4100|4161|EKOS FLUIDO MASSAGEM MARACU |X20003    |PC|            0 |            1 |        0 |        0 |        0 |          0 |        959 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50301037|4100|4161|EKOS FLUIDO MASSAGEM MARACU |X80006    |PC|            0 |            2 |        0 |        0 |        0 |          0 |      1.918 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50303279|4100|4161|UNA DELIN MATTE PEEL OFF PA |YAFC03    |PC|            0 |            8 |        0 |        0 |        0 |          0 |     12.432 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50303279|4100|4161|UNA DELIN MATTE PEEL OFF PA |Z7FC01    |PC|           11 |            0 |        0 |        0 |        0 |     17.094 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50304242|4100|4161|HUMOR A DOIS EDT MASC 75ML  |W60001    |PC|            0 |            5 |        0 |        0 |        0 |          0 |     13.995 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50304242|4100|4161|HUMOR A DOIS EDT MASC 75ML  |Y20005    |PC|            1 |            0 |        0 |        0 |        0 |      2.799 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50304242|4100|4161|HUMOR A DOIS EDT MASC 75ML  |YB0011    |PC|            5 |            0 |        0 |        0 |        0 |     13.995 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50304242|4100|4161|HUMOR A DOIS EDT MASC 75ML  |YB0012    |PC|            8 |            0 |        0 |        0 |        0 |     22.392 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50304242|4100|4161|HUMOR A DOIS EDT MASC 75ML  |Z70004    |PC|            7 |            0 |        0 |        0 |        0 |     19.593 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
